date,# Checks,# Indiv
1977-08-08,2,6
1977-09-12,2,7
1977-10-24,2,5
1978-02-20,4,8
1978-05-08,3,9
1978-05-15,2,5
1978-05-22,2,6
1978-06-12,3,8
1978-06-26,2,4
1978-07-10,4,8
1978-08-07,7,21
1978-08-28,5,21
1978-09-04,2,20
1978-09-11,2,18
1978-09-18,4,27
1978-10-09,2,5
1978-10-16,1,14
1978-11-20,2,16
1978-11-27,2,13
1979-01-29,2,11
1979-03-05,2,11
1979-03-19,2,12
1979-04-16,2,16
1979-04-30,2,20
1979-05-14,4,19
1979-05-28,4,13
1979-06-18,4,16
1979-07-16,2,20
1979-07-30,3,24
1979-08-13,3,25
1979-09-03,2,26
1979-10-03,2,22
1979-10-28,2,26
1979-11-12,2,51
1980-02-04,3,49
1980-02-11,1,29
1980-02-25,2,46
1980-03-03,2,45
1980-03-10,3,45
1980-03-17,3,42
1980-03-31,3,42
1980-04-07,3,38
1980-04-28,3,28
1980-05-12,3,27
1980-05-19,3,35
1980-05-26,2,19
1980-06-09,2,18
1980-06-16,3,19
1980-06-23,4,27
1980-06-30,3,26
1980-07-07,2,32
1980-07-14,3,47
1980-07-21,2,53
1980-07-28,2,64
1980-08-04,3,58
1980-08-11,3,49
1980-08-25,3,63
1980-09-08,2,67
1980-09-29,2,63
1980-10-20,2,57
1980-11-03,2,48
1980-11-17,2,39
1980-12-01,2,41
1981-01-19,3,25
1981-02-09,2,20
1981-02-16,2,19
1981-03-02,2,18
1981-03-09,1,14
1981-03-23,2,16
1981-04-06,2,15
1981-04-13,2,13
1981-04-27,2,14
1981-05-11,2,20
1981-05-25,2,17
1981-06-08,1,14
1981-06-29,2,17
1981-07-13,2,25
1981-07-27,2,36
1981-08-10,2,39
1981-08-24,2,45
1981-09-07,2,29
1981-09-21,2,5
1981-10-05,2,25
1981-10-19,2,19
1981-11-02,2,30
1981-11-16,2,30
1981-11-30,2,22
1981-12-15,1,11
1982-01-18,1,4
1982-01-25,2,2
1982-02-08,2,5
1982-03-01,2,1
1982-03-29,2,1
1982-04-26,2,6
1982-05-24,2,4
1982-06-07,2,2
1982-07-07,2,1
1982-07-26,2,1
1982-08-23,2,3
1982-09-13,2,3
1982-10-04,2,5
1982-10-18,2,5
1982-11-01,2,4
1982-11-15,2,4
1983-02-07,2,1
1983-03-07,2,1
1983-04-04,2,1
1983-05-02,2,2
1983-05-23,0,2
1983-06-13,0,1
1983-07-11,2,2
1983-08-08,2,5
1983-08-29,2,5
1983-10-10,0,6
1983-10-31,0,4
1983-11-21,2,5
1983-11-28,2,6
1983-12-05,2,5
1984-01-16,2,3
1984-02-06,0,5
1984-03-05,0,0
1984-04-02,0,0
1984-04-30,0,0
1984-06-25,0,0
1984-08-20,0,0
1984-09-10,0,0
1984-10-08,0,0
1984-11-05,0,0
1985-01-21,0,0
1985-02-18,0,0
1985-03-11,0,0
1985-04-08,0,4
1985-04-29,0,0
1985-05-20,0,2
