,Species,Weight,Length1,Height,Width,log_width,log_height,log_length,log_weight
0,Bream,242.00000000000009,23.2,11.52,4.02,1.3912819026309295,2.444084655267745,3.1441522786722644,5.488937726156687
1,Bream,4871.467340441927,24.0,12.48,4.3056,1.4599165009905044,2.5241273629412815,3.1780538303479458,8.491150472633116
2,Bream,766.8877820504919,23.9,12.3778,4.6961,1.5467323770179757,2.5159045454874893,3.173878458937465,6.642340483036774
3,Bream,362.9999999999999,26.3,12.73,4.4555,1.4941392880706375,2.543961412569315,3.269568939183719,5.8944028342648505
4,Bream,429.9999999999999,26.5,12.444,5.134,1.6358850824489488,2.5212385790353906,3.2771447329921766,6.063785208687608
5,Bream,776.6181310476402,26.8,13.6024,4.9274,1.5948114655719372,2.610246247761139,3.288401887516811,6.654948763725578
6,Bream,1522.3053632446442,26.8,14.1795,5.2785,1.6636419664476125,2.6517972595514117,3.288401887516811,7.32798115117839
7,Bream,110.2579484108314,27.6,12.67,4.69,1.545432582458188,2.5392369943330477,3.3178157727231046,4.702822606157587
8,Bream,450.00000000000006,27.6,14.0049,4.8438,1.5776995366468878,2.6394072683795464,3.3178157727231046,6.1092475827643655
9,Bream,101.722884214989,28.5,14.2266,4.9594,1.6012847656777132,2.6551134517188495,3.349904087274605,4.622252294605232
10,Bream,475.00000000000006,28.4,14.2628,5.1042,1.6300637302277565,2.657654749147522,3.3463891451671604,6.163314804034641
11,Bream,499.99999999999983,28.7,14.3714,4.8146,1.5716529680713422,2.6652401205367786,3.3568971227655755,6.214608098422191
12,Bream,499.99999999999983,29.1,13.7592,4.368,1.474305238442604,2.621707691280146,3.370738174177447,6.214608098422191
13,Bream,319.16122294255894,29.5,13.9129,5.0728,1.623892933403685,2.6328164673114482,3.3843902633457743,5.76569637618659
14,Bream,358.3417516915959,29.4,14.9544,5.1708,1.6430274154276556,2.705005570915985,3.380994674344636,5.881487144710521
15,Bream,600.0,29.4,15.438,5.58,1.7191887763932197,2.7368320025276622,3.380994674344636,6.396929655216146
16,Bream,1756.5238761105775,30.4,14.8604,5.2854,1.664948302361668,2.6986999568277366,3.414442608412176,7.471092064616958
17,Bream,1233.7914222839765,30.4,14.938,5.1975,1.6481777407500309,2.703908301934875,3.414442608412176,7.1178471644770775
18,Bream,312.7860631086326,30.9,15.633,5.1338,1.6358461257104018,2.749384064595187,3.4307561839036995,5.745519452399233
