selling_price,year,name,fullname,brand,log_km_driven,seats,kmpl,engine_cc
130.0,2007,MARUTI SWIFT,MARUTI SWIFT VXI BSIII,MARUTI,11.695247021764184,5.0,16.1,1298.0
440.0,2017,HYUNDAI XCENT,HYUNDAI XCENT 1.2 VTVT E PLUS,HYUNDAI,10.714417768752456,5.0,20.14,1197.0
400.0,2016,MAHINDRA KUV,MAHINDRA KUV 100 MFALCON G80 K8 5STR,MAHINDRA,10.596634733096073,5.0,18.15,1198.0
500.0,2018,TATA TIGOR,TATA TIGOR 2017-2020 XZ,TATA,10.46310334047155,5.0,20.3,1199.0
575.0,2016,MARUTI BALENO,MARUTI BALENO DELTA 1.2,MARUTI,10.714417768752456,5.0,21.4,1197.0
275.0,2017,MARUTI ALTO,MARUTI ALTO 800 LXI,MARUTI,10.239959789157341,5.0,24.7,796.0
220.0,2009,MARUTI WAGON,MARUTI WAGON R LXI MINOR,MARUTI,11.695247021764184,5.0,18.9,1061.0
255.0,2018,MARUTI OMNI,MARUTI OMNI E MPI STD BS IV,MARUTI,10.126631103850338,8.0,16.8,796.0
730.0,2018,HYUNDAI I20,HYUNDAI I20 1.2 ASTA DUAL TONE,HYUNDAI,7.778211474512493,5.0,18.6,1197.0
366.0,2019,MARUTI ALTO,MARUTI ALTO K10 VXI AIRBAG,MARUTI,9.615805480084347,5.0,23.95,998.0
1149.0,2019,HYUNDAI VERNA,HYUNDAI VERNA VTVT 1.6 SX OPTION,HYUNDAI,8.517193191416238,5.0,17.0,1591.0
150.0,2016,DATSUN GO,DATSUN GO D,DATSUN,10.645424897265505,5.0,20.63,1198.0
150.0,2012,MARUTI 800,MARUTI 800 STD,MARUTI,11.238488619268468,4.0,16.1,796.0
650.0,2019,MARUTI BALENO,MARUTI BALENO DELTA 1.2,MARUTI,10.308952660644293,5.0,21.4,1197.0
615.0,2019,MARUTI SWIFT,MARUTI SWIFT VXI,MARUTI,9.210340371976184,5.0,21.21,1197.0
610.0,2018,MARUTI BALENO,MARUTI BALENO ZETA 1.2,MARUTI,10.46310334047155,5.0,21.4,1197.0
866.0,2017,HYUNDAI VERNA,HYUNDAI VERNA VTVT 1.6 SX,HYUNDAI,10.54006438160768,5.0,17.0,1591.0
300.0,2010,TATA INDICA,TATA INDICA VISTA AURA 1.2 SAFIRE (ABS) BS IV,TATA,10.778956289890028,5.0,15.8,1172.0
475.0,2020,MARUTI CELERIO,MARUTI CELERIO VXI,MARUTI,9.472704636443673,5.0,21.63,998.0
595.0,2017,MARUTI SWIFT,MARUTI SWIFT DZIRE VXI,MARUTI,10.596634733096073,5.0,20.85,1197.0
440.0,2017,MARUTI WAGON,MARUTI WAGON R VXI BS IV,MARUTI,10.46310334047155,5.0,20.51,998.0
350.0,2018,RENAULT KWID,RENAULT KWID 1.0,RENAULT,10.126631103850338,5.0,23.01,999.0
375.0,2011,VOLKSWAGEN VENTO,VOLKSWAGEN VENTO PETROL HIGHLINE,VOLKSWAGEN,10.799575577092764,5.0,15.04,1598.0
850.0,2016,MARUTI ERTIGA,MARUTI ERTIGA BSIV ZXI PLUS,MARUTI,9.903487552536127,7.0,17.5,1373.0
575.0,2018,FORD FIGO,FORD FIGO ASPIRE 1.2 TI-VCT TREND,FORD,9.159047077588632,5.0,18.16,1196.0
515.0,2015,MARUTI SWIFT,MARUTI SWIFT VXI OPTIONAL,MARUTI,10.507803519389457,5.0,20.4,1197.0
425.0,2015,HYUNDAI GRAND,HYUNDAI GRAND I10 MAGNA,HYUNDAI,11.156250521031495,5.0,18.9,1197.0
480.0,2019,VOLKSWAGEN AMEO,VOLKSWAGEN AMEO 1.0 MPI TRENDLINE,VOLKSWAGEN,9.472704636443673,5.0,19.44,999.0
487.0,2014,MARUTI SWIFT,MARUTI SWIFT DZIRE VXI,MARUTI,10.46310334047155,5.0,19.1,1197.0
85.0,2005,MARUTI ZEN,MARUTI ZEN LXI,MARUTI,11.407564949312402,5.0,17.3,993.0
720.0,2020,HYUNDAI ELITE,HYUNDAI ELITE I20 SPORTZ PLUS BSIV,HYUNDAI,8.517193191416238,5.0,18.6,1197.0
520.0,2019,TATA TIGOR,TATA TIGOR 1.2 REVOTRON XZ,TATA,9.546812608597396,5.0,20.3,1199.0
600.0,2015,HONDA CITY,HONDA CITY I VTEC S,HONDA,10.819778284410283,5.0,17.4,1497.0
550.0,2017,MARUTI SWIFT,MARUTI SWIFT DZIRE VXI,MARUTI,10.819778284410283,5.0,20.85,1197.0
375.0,2013,HYUNDAI I20,HYUNDAI I20 SPORTZ 1.2,HYUNDAI,11.156250521031495,5.0,18.5,1197.0
550.0,2017,MARUTI SWIFT,MARUTI SWIFT DZIRE VXI 1.2,MARUTI,9.903487552536127,5.0,21.21,1197.0
270.0,2018,MARUTI ALTO,MARUTI ALTO 800 LXI,MARUTI,9.903487552536127,5.0,24.7,796.0
500.0,2017,MARUTI SWIFT,MARUTI SWIFT VXI OPTIONAL,MARUTI,9.903487552536127,5.0,20.4,1197.0
290.0,2015,MARUTI WAGON,MARUTI WAGON R VXI BS IV,MARUTI,11.002099841204238,5.0,20.51,998.0
265.0,2012,HONDA BRIO,HONDA BRIO S MT,HONDA,11.002099841204238,5.0,19.4,1198.0
